全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考,市民(外部の方)の使用する条件
332020,84,岡山県倉敷市,水島中央公園,ミズシマチュウオウコウエン,,332020,,岡山県倉敷市水島青葉町95-1,岡山県,倉敷市,水島青葉町,95-1,,34.535779,133.737596,,,水泳場内管理事務所,(086)444-5001,,,,,,,,,,,年末年始（12月31日から1月3日まで）休業,,,,,,,,水島地区,
332020,85,岡山県倉敷市,水島武道館,ミズシマブドウカン,,332020,,岡山県倉敷市水島青葉町5-28,岡山県,倉敷市,水島青葉町,5-28,,34.534948,133.738532,,,武道館事務所,(086)446-2556,,,,,,,,,,,年末年始（12月28日から1月4日まで）休業,,,,,,,,水島地区,
332020,86,岡山県倉敷市,真備総合公園（軟式野球場本部席）,マビソウゴウコウエン（ナンシキヤキュウジョウホンブセキ）,,332020,,岡山県倉敷市真備町箭田2208-1,岡山県,倉敷市,真備町箭田,2208-1,,34.642505,133.685055,,,体育館内管理事務所,(086)698-2340,,,,,,,,,,,年末年始12月31日から1月3日まで休業,,,,,,,,真備地区,
332020,87,岡山県倉敷市,児島マリンプール,コジママリンプール,,332020,,岡山県倉敷市児島小川3697-2,岡山県,倉敷市,児島小川,3697-2,,34.464144,133.815803,,,25ｍプール監視室,(086)472-0133,,,,,,,,,,,年末年始12月30日から1月4日まで休業;日曜日・祝日は19時30分まで;毎月1日、15日休業,,,,,,,,児島地区,
332020,90,岡山県倉敷市,倉敷物語館,クラシキモノガタリカン,,332020,,岡山県倉敷市阿知2-23-18,岡山県,倉敷市,阿知,2-23-18,,34.597232,133.770106,,,倉敷物語館展示室内,(086)435-1277,,,,,,,,,,,年末年始12月29日から1月3日まで休業;4月〜11月は21:00まで使用可能,,,,,,,,倉敷地区,
332020,91,岡山県倉敷市,新渓園,シンケイエン,,332020,,岡山県倉敷市中央1-1-20,岡山県,倉敷市,中央,1-1-20,,34.595863,133.770463,,,管理人室,(086)422-0338,,,,,,,,,,,年末年始12月29日から1月3日まで休業,,,,,,,,倉敷地区,
332020,92,岡山県倉敷市,倉敷市バス専用駐車場,クラシキシバスセンヨウチュウシャジョウ,,332020,,岡山県倉敷市中央2-6-1,岡山県,倉敷市,中央,2-6-1,,34.595621,133.769126,,,料金所内,(086)421-5674,,,,,,,,,,,,,,,,,,,倉敷地区,
332020,93,岡山県倉敷市,倉敷市児島観光港（瀬戸大橋観光船協会）,クラシキシコジマカンコウコウ（セトオオハシカンコウセンキョウカイ）,,332020,,岡山県倉敷市児島駅前3-23,岡山県,倉敷市,児島駅前,3-23,,34.460675,133.808528,,,児島観光港事務室,(086)473-6777,,,,,,,,,,,,,,,,,,,児島地区,
332020,94,岡山県倉敷市,国民宿舎良寛荘,コクミンシュクシャリョウカンソウ,,332020,,岡山県倉敷市玉島柏島478,岡山県,倉敷市,玉島柏島,478,,34.539502,133.663298,,,正面玄関横の2階事務所,(086)522-5291,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,フロントへ申し出があった場合
332020,96,岡山県倉敷市,王子が岳レストハウス,オウジガタケレストハウス,,332020,,岡山県倉敷市児島唐琴町1421-8,岡山県,倉敷市,児島唐琴町,1421-8,,34.464022,133.879435,,,ホール北東隅ロッカー内,(086)426-3411,,,,,,,,,,,年末年始12月29日から1月3日まで休業;4月〜9月は17時30分まで使用可能,,,,,,,,児島地区,
332020,100,岡山県倉敷市,倉敷市立倉敷東小学校,クラシキシリツクラシキヒガシショウガッコウ,,332020,,岡山県倉敷市鶴形2-6-10,岡山県,倉敷市,鶴形,2-6-10,,34.599306,133.772239,,,ピロティ西側の外壁の収納ボックス,(086)422-0274,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,101,岡山県倉敷市,倉敷市立倉敷西小学校,クラシキシリツクラシキニシショウガッコウ,,332020,,岡山県倉敷市中央1-21-1,岡山県,倉敷市,中央,1-21-1,,34.591461,133.771866,,,南校舎の中庭に面する側の外壁,(086)422-6125,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,102,岡山県倉敷市,倉敷市立老松小学校,クラシキシリツオイマツショウガッコウ,,332020,,岡山県倉敷市老松町4-10-1,岡山県,倉敷市,老松町,4-10-1,,34.591698,133.761256,,,職員室南側外壁の収納ボックス,(086)422-6600,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,103,岡山県倉敷市,倉敷市立万寿小学校,クラシキシリツマスショウガッコウ,,332020,,岡山県倉敷市浜町2-3-1,岡山県,倉敷市,浜町,2-3-1,,34.607663,133.771633,,,運動場側廊下応接室前の外壁の収納ボックス,(086)422-8333,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,104,岡山県倉敷市,倉敷市立万寿東小学校,クラシキシリツマスヒガシショウガッコウ,,332020,,岡山県倉敷市福島410,岡山県,倉敷市,福島,410,,34.606990,133.783258,,,体育館入口右壁面の収納ボックス,(086)422-8346,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,105,岡山県倉敷市,倉敷市立大高小学校,クラシキシリツオオタカショウガッコウ,,332020,,岡山県倉敷市堀南621,岡山県,倉敷市,堀南,621,,34.579421,133.757470,,,体育館北側校舎の西側外壁の収納ボックス,(086)422-0536,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,106,岡山県倉敷市,倉敷市立葦高小学校,クラシキシリツアシタカショウガッコウ,,332020,,岡山県倉敷市笹沖145-1,岡山県,倉敷市,笹沖,145-1,,34.571472,133.764117,,,正面玄関南側の外壁の収納ボックス,(086)424-1533,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,107,岡山県倉敷市,倉敷市立倉敷南小学校,クラシキシリツクラシキミナミショウガッコウ,,332020,,岡山県倉敷市東富井1005-10,岡山県,倉敷市,東富井,1005-10,,34.573506,133.755041,,,職員室南側の外壁の収納ボックス,(086)430-0373,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,108,岡山県倉敷市,倉敷市立中洲小学校,クラシキシリツナカスショウガッコウ,,332020,,岡山県倉敷市水江1594-1,岡山県,倉敷市,水江,1594-1,,34.593995,133.745763,,,1階中央廊下運動場側の収納ボックス,(086)465-4900,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,109,岡山県倉敷市,倉敷市立中島小学校,クラシキシリツナカシマショウガッコウ,,332020,,岡山県倉敷市中島909-3,岡山県,倉敷市,中島,909-3,,34.579715,133.736690,,,正門から運動場へ抜ける中通路西側の壁の収納ボックス,(086)465-9590,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,110,岡山県倉敷市,倉敷市立粒江小学校,クラシキシリツツブエショウガッコウ,,332020,,岡山県倉敷市粒江2161,岡山県,倉敷市,粒江,2161,,34.563116,133.790630,,,体育館南側の外壁の収納ボックス,(086)422-7001,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,111,岡山県倉敷市,倉敷市立中庄小学校,クラシキシリツナカショウショウガッコウ,,332020,,岡山県倉敷市中庄2599,岡山県,倉敷市,中庄,2599,,34.615379,133.797683,,,校舎中央の階段を運動場から1階に上がった正面の柱の収納ボックス,(086)462-1979,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,112,岡山県倉敷市,倉敷市立帯江小学校,クラシキシリツオビエショウガッコウ,,332020,,岡山県倉敷市加須山526,岡山県,倉敷市,加須山,526,,34.586677,133.795063,,,中校舎東側児童昇降口の外壁の収納ボックス,(086)429-1200,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,113,岡山県倉敷市,倉敷市立菅生小学校,クラシキシリツスゴウショウガッコウ,,332020,,岡山県倉敷市西坂538,岡山県,倉敷市,西坂,538,,34.622684,133.776191,,,保健室校舎側の外壁の収納ボックス,(086)462-1139,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,114,岡山県倉敷市,倉敷市立豊洲小学校,クラシキシリツトヨスショウガッコウ,,332020,,岡山県倉敷市西田201-1,岡山県,倉敷市,西田,201-1,,34.594253,133.808453,,,職員室運動場出入り口の東側外壁の収納ボックス,(086)482-2150,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,115,岡山県倉敷市,倉敷市立庄小学校,クラシキシリツショウショウガッコウ,,332020,,岡山県倉敷市上東785-2,岡山県,倉敷市,上東,785-2,,34.643651,133.826100,,,体育館東側の外壁の収納ボックス,(086)462-0206,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,庄地区,
332020,116,岡山県倉敷市,倉敷市立茶屋町小学校,クラシキシリツチャヤマチショウガッコウ,,332020,,岡山県倉敷市茶屋町早沖445,岡山県,倉敷市,茶屋町早沖,445,,34.581740,133.828622,,,玄関前南側壁面の収納ボックス,(086)428-0020,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,茶屋町地区,
332020,117,岡山県倉敷市,倉敷市立西阿知小学校,クラシキシリツニシアチショウガッコウ,,332020,,岡山県倉敷市西阿知町西原1003,岡山県,倉敷市,西阿知町西原,1003,,34.585831,133.722875,,,児童用昇降口の南校舎側の壁面の収納ボックス,(086)465-2056,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,118,岡山県倉敷市,倉敷市立天城小学校,クラシキシリツアマキショウガッコウ,,332020,,岡山県倉敷市藤戸町天城2285,岡山県,倉敷市,藤戸町天城,2285,,34.561358,133.811432,,,正面玄関左側の外壁の収納ボックス,(086)428-1072,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,119,岡山県倉敷市,倉敷市第一福田小学校,クラシキシダイイチフクダショウガッコウ,,332020,,岡山県倉敷市東塚3-1-1,岡山県,倉敷市,東塚,3-1-1,,34.528208,133.757014,,,管理棟〜北校舎1F渡り廊下柱の収納ボックス,(086)455-8714,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,120,岡山県倉敷市,倉敷市第ニ福田小学校,クラシキシダイニフクダショウガッコウ,,332020,,岡山県倉敷市福田町古新田310-2,岡山県,倉敷市,福田町古新田,310-2,,34.548301,133.765223,,,体育館西側の外壁の収納ボックス,(086)455-8704,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,121,岡山県倉敷市,倉敷市第三福田小学校,クラシキシダイサンフクダショウガッコウ,,332020,,岡山県倉敷市広江1-9-1,岡山県,倉敷市,広江,1-9-1,,34.520504,133.775187,,,職員室運動場入口前の収納ボックス,(086)455-8604,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,122,岡山県倉敷市,倉敷市第四福田小学校,クラシキシダイヨンフクダショウガッコウ,,332020,,岡山県倉敷市北畝3-8-1,岡山県,倉敷市,北畝,3-8-1,,34.545940,133.748980,,,保健室西側の昇降口の収納ボックス,(086)455-4375,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,123,岡山県倉敷市,倉敷市第五福田小学校,クラシキシダイゴフクダショウガッコウ,,332020,,岡山県倉敷市水島西千鳥町4-37,岡山県,倉敷市,水島西千鳥町,4-37,,34.531232,133.739696,,,校舎西側昇降口の外壁の収納ボックス,(086)444-5236,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,124,岡山県倉敷市,倉敷市水島小学校,クラシキシミズシマショウガッコウ,,332020,,岡山県倉敷市水島北春日町11-11,岡山県,倉敷市,水島北春日町,11-11,,34.545367,133.742200,,,職員室後方入口左の戸棚南側ドアの外壁の収納ボックス,(086)444-9260,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,125,岡山県倉敷市,倉敷市旭丘小学校,クラシキシアサヒガオカショウガッコウ,,332020,,岡山県倉敷市連島町連島1793,岡山県,倉敷市,連島町連島,1793,,34.564751,133.743940,,,昇降口西側靴箱の上の収納ボックス,(086)448-9177,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,126,岡山県倉敷市,倉敷市連島西浦小学校,クラシキシツラジマセイホショウガッコウ,,332020,,岡山県倉敷市連島町西之浦3575,岡山県,倉敷市,連島町西之浦,3575,,34.551217,133.720377,,,来客用玄関の柱の収納ボックス,(086)444-5263,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,127,岡山県倉敷市,倉敷市連島神亀小学校,クラシキシツラジマシンキショウガッコウ,,332020,,岡山県倉敷市神田3-6-34,岡山県,倉敷市,神田,3-6-34,,34.541667,133.732278,,,体育館西側の外壁の収納ボックス,(086)448-6070,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,128,岡山県倉敷市,倉敷市連島東小学校,クラシキシツラジマヒガシショウガッコウ,,332020,,岡山県倉敷市連島町連島2850,岡山県,倉敷市,連島町連島,2850,,34.556604,133.736339,,,職員室玄関左側の壁の収納ボックス,(086)444-8027,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,129,岡山県倉敷市,倉敷市連島南小学校,クラシキシツラジマミナミショウガッコウ,,332020,,岡山県倉敷市連島町鶴新田1705,岡山県,倉敷市,連島町鶴新田,1705,,34.538435,133.716278,,,正面玄関向かって右側の外壁の収納ボックス,(086)444-7129,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,130,岡山県倉敷市,倉敷市連島北小学校,クラシキシツラジマキタショウガッコウ,,332020,,岡山県倉敷市連島町西之浦5068,岡山県,倉敷市,連島町西之浦,5068,,34.565995,133.718539,,,非常階段下の靴箱の上の収納ボックス,(086)465-5917,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,水島地区,
332020,132,岡山県倉敷市,倉敷市立味野小学校,クラシキシリツアジノショウガッコウ,,332020,,岡山県倉敷市児島味野城2-2-9,岡山県,倉敷市,児島味野城,2-2-9,,34.470010,133.799327,,,正面玄関の左手外壁の収納ボックス,(086)472-2059,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,133,岡山県倉敷市,倉敷市立赤崎小学校,クラシキシリツアカサキショウガッコウ,,332020,,岡山県倉敷市児島赤崎2-1-59,岡山県,倉敷市,児島赤崎,2-1-59,,34.455176,133.799981,,,正面玄関の外壁の収納ボックス,(086)472-2311,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,134,岡山県倉敷市,倉敷市立下津井東小学校,クラシキシリツシモツイヒガシショウガッコウ,,332020,,岡山県倉敷市下津井田之浦2-4-66,岡山県,倉敷市,下津井田之浦,2-4-66,,34.439459,133.804409,,,渡り廊下北館入口の外壁の収納ボックス,(086)479-9048,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,135,岡山県倉敷市,倉敷市立下津井西小学校,クラシキシリツシモツイニシショウガッコウ,,332020,,岡山県倉敷市下津井1-17-16,岡山県,倉敷市,下津井,1-17-16,,34.439047,133.797366,,,体育館西側の外壁の収納ボックス,(086)479-9412,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,136,岡山県倉敷市,倉敷市立本荘小学校,クラシキシリツホンジョウショウガッコウ,,332020,,岡山県倉敷市児島塩生1750,岡山県,倉敷市,児島塩生,1750,,34.475378,133.775913,,,玄関の柱の収納ボックス,(086)475-0821,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,137,岡山県倉敷市,倉敷市立児島小学校,クラシキシリツコジマショウガッコウ,,332020,,岡山県倉敷市児島柳田町851,岡山県,倉敷市,児島柳田町,851,,34.489539,133.799196,,,南校舎玄関入口右横の外壁の収納ボックス,(086)473-2711,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,138,岡山県倉敷市,倉敷市立緑丘小学校,クラシキシリツミドリガオカショウガッコウ,,332020,,岡山県倉敷市児島稗田町900,岡山県,倉敷市,児島稗田町,900,,34.498950,133.813907,,,体育館東側入口の外壁の収納ボックス,(086)473-2845,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,139,岡山県倉敷市,倉敷市立琴浦東小学校,クラシキシリツコトウラヒガシショウガッコウ,,332020,,岡山県倉敷市児島田の口3-13-1,岡山県,倉敷市,児島田の口,3-13-1,,34.473289,133.843949,,,管理棟玄関外壁の収納ボックス（向かって左側ポスト横）,(086)477-7025,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,140,岡山県倉敷市,倉敷市立琴浦西小学校,クラシキシリツコトウラニシショウガッコウ,,332020,,岡山県倉敷市児島下の町5-4-5,岡山県,倉敷市,児島下の町,5-4-5,,34.479237,133.821965,,,体育館東側の正面玄関横外壁の収納ボックス,(086)472-3022,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,141,岡山県倉敷市,倉敷市立琴浦南小学校,クラシキシリツコトウラミナミショウガッコウ,,332020,,岡山県倉敷市児島下の町2-16-17,岡山県,倉敷市,児島下の町,2-16-17,,34.470273,133.822840,,,職員室西側ピロティの外壁の収納ボックス,(086)474-2922,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,143,岡山県倉敷市,倉敷市立郷内小学校,クラシキシリツゴウナイショウガッコウ,,332020,,岡山県倉敷市林1000,岡山県,倉敷市,林,1000,,34.540257,133.817147,,,玄関入って右側の収納ボックス,(086)485-0044,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,児島地区,
332020,144,岡山県倉敷市,倉敷市立玉島小学校,クラシキシリツタマシマショウガッコウ,,332020,,岡山県倉敷市玉島阿賀崎3-3-1,岡山県,倉敷市,玉島阿賀崎,3-3-1,,34.548562,133.669273,,,放送室運動場側外壁の収納ボックス（昇降口の奥）,(086)522-5267,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,145,岡山県倉敷市,倉敷市立上成小学校,クラシキシリツウワナリショウガッコウ,,332020,,岡山県倉敷市玉島乙島6191,岡山県,倉敷市,玉島乙島,6191,,34.554409,133.694064,,,管理棟1階西端児童靴箱付近の収納ボックス,(086)522-2982,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,146,岡山県倉敷市,倉敷市立乙島小学校,クラシキシリツオトシマショウガッコウ,,332020,,岡山県倉敷市玉島乙島3500,岡山県,倉敷市,玉島乙島,3500,,34.538731,133.675490,,,南校舎から体育館の方へ出てすぐ左側の外壁の収納ボックス,(086)522-2440,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,147,岡山県倉敷市,倉敷市立乙島東小学校,クラシキシリツオトシマヒガシショウガッコウ,,332020,,岡山県倉敷市玉島乙島7471,岡山県,倉敷市,玉島乙島,7471,,34.529529,133.689624,,,体育館西側の外壁の収納ボックス,(086)522-2430,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,148,岡山県倉敷市,倉敷市立柏島小学校,クラシキシリツカシワジマショウガッコウ,,332020,,岡山県倉敷市玉島柏島2751-1,岡山県,倉敷市,玉島柏島,2751-1,,34.539539,133.650729,,,体育館西側の外壁の収納ボックス,(086)522-3076,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,149,岡山県倉敷市,倉敷市立玉島南小学校,クラシキシリツタマシマミナミショウガッコウ,,332020,,岡山県倉敷市玉島柏島6446,岡山県,倉敷市,玉島柏島,6446,,34.522795,133.650974,,,職員室運動場側の外壁の収納ボックス,(086)528-0403,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,150,岡山県倉敷市,倉敷市立長尾小学校,クラシキシリツナガオショウガッコウ,,332020,,岡山県倉敷市玉島長尾3086,岡山県,倉敷市,玉島長尾,3086,,34.570478,133.679468,,,職員室前運動場側の廊下の収納ボックス,(086)522-2419,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,151,岡山県倉敷市,倉敷市立富田小学校,クラシキシリツトミタショウガッコウ,,332020,,岡山県倉敷市玉島八島1774,岡山県,倉敷市,玉島八島,1774,,34.561402,133.657141,,,体育館運動場側外壁の収納ボックス,(086)522-2759,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,152,岡山県倉敷市,倉敷市立沙美小学校,クラシキシリツサミショウガッコウ,,332020,,岡山県倉敷市玉島黒崎6050-1,岡山県,倉敷市,玉島黒崎,6050-1,,34.504107,133.632773,,,体育館南側の外壁の収納ボックス,(086)528-0852,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,153,岡山県倉敷市,倉敷市立南浦小学校,クラシキシリツナンボショウガッコウ,,332020,,岡山県倉敷市玉島黒崎8402,岡山県,倉敷市,玉島黒崎,8402,,34.498304,133.612586,,,体育館正面玄関外壁の収納ボックス,(086)528-1042,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,154,岡山県倉敷市,倉敷市立穂井田小学校,クラシキシリツホイダショウガッコウ,,332020,,岡山県倉敷市玉島陶1630,岡山県,倉敷市,玉島陶,1630,,34.596169,133.678313,,,児童げた箱横のロッカー上の収納ボックス,(086)526-4830,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,155,岡山県倉敷市,倉敷市立船穂小学校,クラシキシリツフナオショウガッコウ,,332020,,岡山県倉敷市船穂町船穂2643,岡山県,倉敷市,船穂町船穂,2643,,34.584999,133.705942,,,体育館南側外壁の収納ボックス,(086)526-4830,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,船穂地区,
332020,156,岡山県倉敷市,倉敷市立柳井原小学校,クラシキシリツヤナイバラショウガッコウ,,332020,,岡山県倉敷市船穂町柳井原1854-5,岡山県,倉敷市,船穂町柳井原,1854-5,,34.610152,133.720722,,,来客用玄関を出て左側の外壁の収納ボックス,(086)552-2304,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,船穂地区,
332020,158,岡山県倉敷市,倉敷市立岡田小学校,クラシキシリオカダショウガッコウ,,332020,,岡山県倉敷市真備町岡田619-2,岡山県,倉敷市,真備町岡田,619-2,,34.645982,133.705526,,,職員玄関の外側の収納ボックス,(086)698-1280,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,真備地区,
332020,159,岡山県倉敷市,倉敷市立薗小学校,クラシキシリソノショウガッコウ,,332020,,岡山県倉敷市真備町市場4338,岡山県,倉敷市,真備町市場,4338,,34.648193,133.692180,,,体育館前にある外壁の収納ボックス,(086)698-0026,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,真備地区,
332020,161,岡山県倉敷市,倉敷市立二万小学校,クラシキシリニマショウガッコウ,,332020,,岡山県倉敷市真備町上二万3346,岡山県,倉敷市,真備町上二万,3346,,34.606391,133.709335,,,校舎1階児童用トイレ前の収納ボックス,(086)698-0652,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,真備地区,
332020,162,岡山県倉敷市,倉敷市立呉妹小学校,クラシキシリクレセショウガッコウ,,332020,,岡山県倉敷市真備町妹137,岡山県,倉敷市,真備町妹,137,,34.625251,133.657104,,,体育館東側玄関の外壁の収納ボックス,(086)698-0006,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,真備地区,
332020,163,岡山県倉敷市,倉敷市立東中学校,クラシキシリツヒガシチュウガッコウ,,332020,,岡山県倉敷市平田155-100,岡山県,倉敷市,平田,155-100,,34.612432,133.776300,,,体育館正面玄関横の収納ボックス,(086)422-6050,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,164,岡山県倉敷市,倉敷市立西中学校,クラシキシリツニシチュウガッコウ,,332020,,岡山県倉敷市日吉町205,岡山県,倉敷市,日吉町,205,,34.599101,133.754114,,,体育館西側の外壁の収納ボックス,(086)422-6030,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,165,岡山県倉敷市,倉敷市立南中学校,クラシキシリツミナミチュウガッコウ,,332020,,岡山県倉敷市西富井1387,岡山県,倉敷市,西富井,1387,,34.573509,133.744898,,,体育館南校舎側の外壁の収納ボックス,(086)422-4670,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,166,岡山県倉敷市,倉敷市立北中学校,クラシキシリツキタチュウガッコウ,,332020,,岡山県倉敷市中庄505,岡山県,倉敷市,中庄,505,,34.620346,133.788896,,,体育館西側（運動場側）の外壁の収納ボックス,(086)462-6341,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,167,岡山県倉敷市,倉敷市立多津美中学校,クラシキシリツタツミチュウガッコウ,,332020,,岡山県倉敷市有城986,岡山県,倉敷市,有城,986,,34.575578,133.799671,,,保健室ピロティ側の外壁の収納ボックス,(086)429-1222,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,168,岡山県倉敷市,倉敷市立新田中学校,クラシキシリツシンデンチュウガッコウ,,332020,,岡山県倉敷市新田2674-3,岡山県,倉敷市,新田,2674-3,,34.571928,133.774492,,,体育館南入口外壁の収納ボックス,(086)422-4674,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,169,岡山県倉敷市,倉敷市立東陽中学校,クラシキシリツトウヨウチュウガッコウ,,332020,,岡山県倉敷市高須賀315,岡山県,倉敷市,高須賀,315,,34.583047,133.821932,,,職員玄関運動場側の外壁の収納ボックス,(086)428-0013,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,倉敷地区,
332020,170,岡山県倉敷市,倉敷市立庄中学校,クラシキシリツショウチュウガッコウ,,332020,,岡山県倉敷市上東812,岡山県,倉敷市,上東,812,,34.643551,133.825315,,,職員室西側テニスコート側外壁の収納ボックス,(086)462-0334,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,庄地区,
